Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg),Vitamin B12 (mg),Copper (mg),Selenium (mg),Vitamin D (mg),Zinc (mcg),Iron (g),Phosphorus (mcg)
Spring Vegetable Soup,136,5,1,0,73,20,6,11,5,0,75,3,726,4,1,1,0.1,0,0,219,53,101,1,1,132,0.4,0,71,2,55,88,0.3,0.2,2,40,0,0,0,0,0,0,0
Springtime Cereal,426,6,1,5,297,86,10,42,13,1,235,13,832,2,2,2,0.1,3,0,458,126,403,13,2,15,0.7,0.6,55,2,3,391,0.4,0.4,5,46,0,0,0,0,0,0,0
Spunky Vegetable Pizza,214,6,3,10,287,29,2,3,10,0,199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squash Salsa,102,1,0,1,247,19,5,4,5,0,50,2,422,0,0,0,0,0,0,167,34,109,1,1,33,0.2,0.1,16,1,7,60,0.1,0.1,1,24,0,0,0,0,0,0,0
Squash Soup,127,4,1,1,251,19,4,7,6,0,95,3,735,2,1,0,0.1,0,0,245,37,115,1,1,237,0.3,0.1,15,2,35,40,0.1,0.2,5,25,0,0,0,0,0,0,0
Squash Squares,198,13,3,87,264,15,1,4,6,0,92,1,265,5,4,3,0.5,0,13,80,16,172,9,1,192,0.2,0.3,7,1,12,54,0.1,0.2,1,73,0,0,0,0,0,0,0
"Stewed Cauliflower, Tomatoes, and Onions",78,4,1,2,80,9,3,4,4,0,75,1,478,1,1,1,0.2,0,0,88,26,88,2,1,33,0.3,0,57,1,27,69,0.1,0.1,1,49,0,0,0,0,0,0,0
Stir Fried Beef,229,6,2,59,104,19,3,4,25,0,41,2,762,2,1,1,0.1,0,0,182,45,249,29,5,13,0.8,1.1,23,1,7,34,0.2,0.2,8,100,0,0,0,0,0,0,0
Stir Fry Vegetables and Beef,188,10,2,35,143,11,3,5,15,0,48,2,550,4,3,3,0.4,1,0,223,32,160,17,3,286,0.4,0.9,68,2,59,52,0.1,0.3,4,66,0,0,0,0,0,0,0
Stir-Fry with Chicken and Noodles,165,8,2,17,589,15,2,3,9,0,39,1,289,3,2,2,0.1,1,1,96,33,107,10,1,129,0.3,0,18,2,45,48,0.1,0.1,4,27,100,0,0,0,0,0,0
Stovetop Tamale Pie,362,8,2,37,843,51,12,5,24,0,72,7,1058,3,2,1,0.3,0,0,462,111,359,14,5,68,0.5,1.3,6,3,22,183,0.3,0.3,7,94,0,0,0,0,0,0,0
"Strawberries, White Bean, and Edamame Salad",270,10,2,10,0,30,10,8,14,0,208,6,310,5,2,2,0.4,2,0,411,112,120,6,1,236,0.3,0.2,62,3,245,343,0.5,0.2,0,67,0,0,0,0,0,0,0
Strawberry Banana Parfait,190,1,0,2,235,44,7,24,10,1,200,13,448,0,0,0,0.1,0,0,197,86,316,7,12,156,1.7,4.8,89,9,2,498,1.1,1.5,14,34,0,0,0,0,0,0,0
Strawberry Kiwi Yogurt Pops,69,1,1,3,41,13,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.3,29,0,8,16,0,0.1,0,12,0,0,0,0,0,0,0
Strawberry Mango Feta Toast Points,240,8,2,17,390,33,5,17,17,0,146,1,289,6,1,1,0.2,0,0,215,43,146,15,1,51,0.2,0.3,57,2,21,46,0.2,0.3,2,19,0,0,0,0,0,0,0
Strawberry S'Mores,93,2,0,2,87,17,1,10,3,0,60,1,123,1,1,1,0.1,0,0,44,12,62,3,0,4,0,0.2,14,0,1,18,0.1,0.1,1,9,0,0,0,0,0,0,0
Strawberry Yogurt Pops,71,1,0,2,36,14,1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.3,16,0,1,12,0,0.1,0,10,0,0,0,0,0,0,0
Stuffed Green Peppers,461,15,4,84,100,55,5,10,26,0,97,4,868,5,4,4,0.3,15,8,432,73,330,39,4,87,1,1.2,135,3,25,168,0.4,0.3,12,85,0,0,0,0,0,0,0
Stuffed Summer Squash,287,3,1,3,194,55,9,6,12,0,147,3,824,1,1,1,0.2,0,0,402,123,265,16,2,200,0.6,0.1,29,1,14,90,0.3,0.3,3,46,0,0,0,0,0,0,0
Stuffed Tomatoes,115,3,1,0,138,18,2,4,4,0,58,2,289,1,1,1,0.2,0,0,119,23,58,5,0,39,0.1,0.1,14,1,22,47,0.2,0.1,2,10,0,0,0,0,0,0,0
Sugar and Spice Cookies (from Better Baking Mix),83,4,1,10,36,12,0,8,1,0,24,0,53,1,1,1,0.2,0,2,26,6,28,3,0,8,0,0.1,0,0,4,11,0,0,0,11,0,0,0,0,0,0,0
Summer Breeze Smoothie,120,0,0,2,65,24,2,18,6,0,176,0,448,0,0,0,0,0,0,119,36,147,3,1,5,0.3,0,45,0,1,33,0.1,0.2,1,21,500,0,0,0,0,0,0
Summer Fruit Salad,45,0,0,0,1,11,2,8,1,0,15,0,151,0,0,0,0,0,0,81,14,17,0,0,12,0.1,0,47,0,1,19,0.1,0,0,6,0,0,0,0,0,0,0
Summer Italian Vegetables,67,3,1,6,75,8,2,5,4,0,93,1,321,1,0,0,0.1,0,0,81,21,88,2,1,43,0.2,0.2,26,1,10,24,0.1,0.1,2,12,0,0,0,0,0,0,0
Summer Salad,37,3,0,0,11,3,1,1,2,0,29,1,177,0,2,1,0.4,0,0,142,16,41,2,0,69,0.1,0,12,0,142,38,0.1,0.1,1,8,0,0,0,0,0,0,0
Summer Squash Medley,52,3,1,1,105,6,2,4,2,0,54,1,305,2,0,0,0.1,0,0,72,19,50,1,0,23,0.2,0,20,1,5,24,0.4,0.1,1,10,0,0,0,0,0,0,0
Summer Squash Stir Fry,59,4,1,0,24,7,2,4,1,0,23,0,276,2,0,0,0.1,0,0,50,15,38,0,0,273,0.2,0,13,1,8,26,0.1,0.1,1,8,0,0,0,0,0,0,0
"Summer Squash, Italian Style",98,9,2,5,104,2,1,1,3,0,97,0,136,3,3,3,0.4,0,0,29,12,71,2,0,21,0.1,0.1,8,1,10,15,0,0.1,0,4,0,0,0,0,0,0,0
Summer Vegetable Spaghetti,255,3,1,3,246,48,5,7,11,0,102,3,530,1,1,0,0.1,0,0,291,56,161,33,1,58,0.2,0.1,18,1,24,171,0.4,0.3,3,27,0,0,0,0,0,0,0
Sunshine Rice,324,11,1,0,67,50,3,6,7,0,74,2,355,6,4,3,0.3,0,0,243,57,134,11,1,10,0.3,0,23,3,15,166,0.3,0.1,3,16,0,0,0,0,0,0,0
Sunshine Salad,82,4,1,0,181,12,3,8,2,0,62,1,371,1,2,1,0.3,0,0,100,37,39,1,0,167,0.2,0,54,1,157,87,0.1,0.1,1,14,0,0,0,0,0,0,0
Sure to Please Baked Eggs & Cheese,163,11,3,249,194,3,0,2,13,2,140,1,162,4,3,2,0.2,0,38,61,15,234,23,1,133,0.2,0.8,0,1,6,35,0.1,0.4,0,202,0,0,0,0,0,0,0
Surf's Up Tacos,388,16,7,38,535,42,8,5,22,0,281,2,536,4,4,3,0.4,13,59,247,84,449,30,2,0,0.4,1,5,0,0,48,0.2,0.2,5,0,0,0,0,0,0,0,0
Sweet and Juicy Raisin Tapenade,250,6,1,0,220,49,5,22,5,0,23,2,317,3,1,1,0.1,0,0,217,29,79,10,0,0,0.1,0,1,1,3,10,0.1,0.1,1,11,0,0,0,0,0,0,0
Sweet and Savory Peanut Butter Dip,74,5,1,0,154,5,1,4,3,0,14,2,100,2,1,1,0,0,0,178,39,42,1,2,116,0.3,0,1,4,0,47,0,0,1,8,0,0,0,0,0,0,0
Sweet and Sour Cabbage,28,0,0,0,156,7,1,5,1,0,25,0,102,0,0,0,0,0,0,13,8,16,0,0,3,0.1,0,21,0,43,24,0,0,0,6,0,0,0,0,0,0,0
Sweet and Sour Salad Dressing,67,5,1,0,89,4,0,4,0,0,5,0,30,2,2,2,0.3,0,0,7,3,7,0,0,0,0,0,1,1,6,2,0,0,0,1,0,0,0,0,0,0,0
Sweet Potato and Apple Bake,231,9,3,10,64,38,4,15,3,0,38,1,443,3,2,1,0.1,0,0,253,36,83,2,1,499,0.3,0,33,1,4,30,0.1,0.1,1,20,0,0,0,0,0,0,0
Sweet Potato Cheesecake,139,6,3,17,137,17,1,11,5,0,84,1,186,2,0,0,0.1,0,0,50,14,77,4,0,143,0.1,0.2,5,0,1,12,0,0.2,0,11,0,0,0,0,0,0,0
Sweet Potato Custard,151,2,1,72,270,30,2,19,5,1,153,1,401,1,0,0,0,1,6,108,29,137,5,1,242,0.2,0.2,14,1,1,23,0.1,0.2,1,58,0,0,0,0,0,0,0
Sweet Potato Hash with Egg,346,14,3,252,405,35,6,8,20,1,93,4,864,4,5,2,0.1,2,19,505,56,274,17,3,941,0.7,1.2,48,2,14,45,0.2,0.5,5,149,0,0,0,0,0,0,0
Sweet Potato Pancakes with Balsamic Maple Mushrooms,420,12,2,50,480,70,7,29,12,1,300,3,942,3,7,1,0,168,100,0,84,355,0,3,868,0.5,0.5,15,2,21,40,0.3,0.7,6,72,0,549000,35000,0,0,0,0
Sweet Potato Patties,147,3,1,0,168,26,3,4,3,0,52,1,254,1,1,1,0.2,0,0,144,24,60,5,0,461,0.2,0.1,2,0,5,37,0.2,0.1,2,11,0,0,0,0,0,0,0
Sweet Potato Pone,196,7,1,0,364,33,1,26,1,0,134,2,620,3,3,3,0.4,0,0,222,90,50,6,0,283,0.3,0,1,1,9,4,0,0,1,9,0,0,0,0,0,0,0
Taco Flavored Potatoes,173,6,1,0,10,28,3,1,3,0,17,1,586,4,1,1,0.1,0,0,156,37,89,1,0,1,0.4,0,27,1,6,23,0.1,0.1,2,17,0,0,0,0,0,0,0
Taco Salad,249,8,2,69,536,19,6,3,26,0,67,3,699,3,2,2,0.2,7,7,282,62,296,26,3,90,0.7,1,22,1,36,128,0.2,0.2,7,84,0,0,0,0,0,0,0
Taco Salad II,366,13,5,34,756,46,8,9,20,0,269,4,892,4,2,2,0.2,0,0,286,89,385,14,3,131,0.4,1,17,3,31,107,0.3,0.3,3,62,0,0,0,0,0,0,0
Taco Soup,265,5,2,28,503,39,10,5,19,0,64,5,767,2,1,1,0.2,0,0,330,68,256,10,4,24,0.4,1,13,1,10,151,0.6,0.2,4,74,0,0,0,0,0,0,0
Tasty Chicken and Veggie Packets,209,6,1,84,91,5,2,3,32,0,33,1,463,3,1,1,0.1,10,20,86,41,254,28,1,187,0.8,0.3,46,1,13,31,0.1,0.2,14,91,0,0,0,0,0,0,0
Tasty Low-Fat Cream Soup,135,1,0,4,189,19,1,13,12,2,294,1,594,1,0,0,0,0,0,117,32,289,8,1,163,0.1,1,2,0,4,33,0.1,0.5,3,46,0,0,0,0,0,0,0
Tasty Veggie Dip,37,0,0,1,44,6,0,4,3,0,113,0,145,0,0,0,0,0,0,9,11,89,2,1,1,0,0.4,1,0,0,7,0,0.1,0,9,0,0,0,0,0,0,0
Ten Minute Corn Chowder,207,4,1,8,159,34,3,14,12,2,299,1,506,1,1,1,0.1,0,0,87,49,306,11,2,134,0.2,1,6,0,3,55,0.2,0.5,2,56,0,0,0,0,0,0,0
Terrific Bean Taco,185,9,4,15,397,19,4,2,8,0,152,2,390,3,2,2,0.2,0,0,165,45,182,6,1,105,0.2,0.1,8,1,48,78,0.1,0.1,1,23,0,0,0,0,0,0,0
Tex-Mex Skillet,250,5,1,30,410,31,12,3,20,0,60,2,872,2,7,1,0.1,0,0,0,101,375,30,5,40,0.5,1.3,18,1,18,124,0.4,0.3,6,88,0,367000,0,0,0,0,0
Thai Pineapple and Chicken,511,12,2,70,511,69,9,14,34,0,0,0,0,5,4,3,0.2,8,17,0,0,0,0,0,119,1.2,0.3,156,3,96,110,0.4,0.3,16,125,0,0,0,0,0,0,0
The Bosnian Pot,296,6,2,64,74,36,7,8,26,0,84,4,1160,2,1,0,0.1,2,1,305,69,264,23,6,163,0.9,1.6,90,1,82,88,0.3,0.3,5,115,0,0,0,0,0,0,0
Thousand Island Dressing,68,6,1,5,161,3,0,3,1,0,32,0,93,4,1,1,0.1,0,0,16,5,29,1,0,6,0,0.1,3,0,12,3,0,0,0,4,0,0,0,0,0,0,0
Three Bean Salad,187,9,1,0,456,23,5,12,4,0,47,2,342,4,4,4,0.6,0,0,142,33,77,1,1,13,0.2,0,32,0,0,68,0.1,0.1,1,0,0,0,0,0,0,0,0
Three Sisters Soup,137,4,1,0,267,24,6,6,5,0,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Sisters Stew,298,6,3,26,321,48,9,7,17,0,71,3,933,2,1,1,0.1,0,0,335,71,235,9,3,43,0.5,0,18,2,18,72,0.2,0.2,6,69,900,0,0,0,0,0,0
Tic Tac Toe Veggie Pizza,294,5,1,5,449,56,9,6,12,0,91,3,537,1,1,1,0.1,0,0,322,82,237,39,2,205,0.5,0.2,48,2,13,67,0.4,0.2,5,36,0,0,0,0,0,0,0
Tofu Salad,88,5,1,1,155,4,2,2,7,0,181,2,212,2,3,2,0.3,0,0,204,38,116,10,1,11,0.1,0,19,0,27,25,0.1,0.1,0,28,0,0,0,0,0,0,0
Tofu with Broccoli,151,10,1,0,173,8,3,2,12,0,269,3,437,2,5,2,0.2,0,0,293,61,194,13,1,32,0.2,0,68,1,102,73,0.1,0.2,1,47,0,0,0,0,0,0,0
"Tofu, Tomato and Spinach Soup",109,6,1,0,274,8,3,3,10,0,253,3,511,2,2,2,0.3,0,0,335,76,163,10,1,167,0.2,0,19,1,154,91,0.1,0.1,1,40,0,0,0,0,0,0,0
Tomato and Cucumber Salad,35,1,0,0,103,5,1,3,1,0,18,0,234,1,0,0,0,0,0,72,14,28,0,0,36,0.1,0,22,1,36,19,0.1,0,0,7,0,0,0,0,0,0,0
Tomato and Garlic Omelet,225,6,2,8,525,19,4,9,26,3,313,6,913,2,1,1,0.1,0,0,221,72,286,81,3,119,0.5,0.9,27,5,41,68,0.4,0.8,2,24,0,0,0,0,0,0,0
Tomato Basil and Bean Pasta Salad,212,3,1,0,24,37,4,2,8,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomato Basil Bruschetta,103,3,0,0,132,17,1,2,3,0,18,1,140,2,0,0,0,0,0,63,12,41,7,0,18,0.1,0,6,1,6,66,0.1,0.1,1,7,0,0,0,0,0,0,0
Tomato Basil Soup,101,4,1,2,182,13,3,10,5,1,190,1,445,3,0,0,0,0,0,81,29,140,4,1,102,0.2,0.5,16,1,11,20,0.7,0.3,1,28,0,0,0,0,0,0,0
Tomato N' Cheese Pasta,322,11,3,9,153,47,6,7,14,0,239,4,516,6,1,1,0.1,0,0,389,72,256,37,2,41,0.4,0.4,22,3,19,30,0.3,0.2,2,33,0,0,0,0,0,0,0
Tortilla Chips and Bean Dip,216,6,3,16,190,30,7,1,12,0,168,3,422,2,1,1,0.2,0,0,225,58,271,5,2,76,0.2,0.2,3,0,22,110,0.2,0.2,1,32,0,0,0,0,0,0,0
Tortilla Pizzas,158,3,1,5,519,25,6,2,9,0,137,2,491,1,1,0,0,0,0,200,58,235,8,1,31,0.3,0.2,44,1,48,0,0.1,0.1,1,30,0,0,0,0,0,0,0
Tostadas,237,9,5,20,648,27,5,2,12,0,207,3,418,3,1,1,0.2,0,0,199,45,228,14,1,76,0.1,0.2,5,0,16,109,0.2,0.2,2,24,0,0,0,0,0,0,0
Tostadas Delgadas,268,9,4,15,667,35,5,2,11,0,194,3,378,3,1,1,0.2,0,0,186,41,210,17,1,70,0.1,0.1,4,0,19,135,0.3,0.2,2,21,0,0,0,0,0,0,0
Trail Mix Bars,208,10,2,0,83,28,2,22,5,0,23,4,207,4,3,3,0,0,0,383,69,102,5,3,203,0.5,0.1,1,8,0,115,0.1,0.1,3,13,0,0,0,0,0,0,0
Tropical Morning Treat,67,0,0,0,1,17,2,12,1,0,18,0,233,0,0,0,0,0,0,54,15,18,0,0,7,0.2,0,29,0,1,21,0.1,0.1,0,8,0,0,0,0,0,0,0
Tropical Yogurt Pops,65,1,1,4,43,11,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.1,0.3,10,0,1,17,0.1,0.1,0,12,0,0,0,0,0,0,0
Tuna Apple Salad,276,2,0,30,533,49,5,28,20,1,67,3,665,0,1,0,0,23,161,280,59,230,69,1,99,0.5,2.2,6,1,63,56,0.2,0.2,10,41,0,0,0,0,0,0,0
Tuna Apple Salad Sandwich,380,10,2,25,550,48,7,9,27,4,100,4,608,2,5,4,0.9,39,183,448,92,313,90,2,49,0.5,2.5,4,1,56,56,0.3,0.3,14,49,0,0,0,0,0,0,0
Tuna Melt Burger,225,7,2,19,635,26,4,4,14,0,151,2,250,2,2,2,0.3,8,55,155,53,211,36,1,30,0.2,0.8,1,2,12,29,0.2,0.2,5,28,0,0,0,0,0,0,0
Tuna Pasta,340,7,1,19,171,50,5,7,18,1,80,3,487,2,2,2,0.3,12,82,239,55,195,66,1,46,0.4,1.1,13,3,28,180,0.4,0.3,10,37,0,0,0,0,0,0,0
Tuna Pasta Casserole,350,4,1,22,413,57,5,5,21,1,54,4,531,1,2,1,0.1,16,109,345,53,212,82,1,26,0.4,1.4,20,1,4,203,0.9,0.4,9,37,0,0,0,0,0,0,0
Tuna Quesadillas,229,6,2,19,546,27,2,1,16,1,132,2,164,3,1,1,0.1,12,82,97,23,190,43,1,16,0.2,1.1,0,0,4,89,0.3,0.2,6,19,0,0,0,0,0,0,0
Tuna Salad II,89,4,1,19,158,5,1,4,10,1,27,1,193,1,2,2,0.2,13,94,59,16,84,34,0,26,0.2,1.3,1,0,22,14,0,0.1,5,19,0,0,0,0,0,0,0
Tuna Salad on Greens,189,12,2,19,234,8,2,2,12,0,47,1,390,8,1,1,0.1,20,95,115,29,108,36,1,0,0.2,1.3,10,0,0,60,0.1,0.1,6,0,0,0,0,0,0,0,0
Tuna Slider with Green Chiles,285,7,1,22,736,34,2,6,20,3,0,0,0,2,4,3,0.5,26,124,0,0,0,0,0,16,0.3,1.8,16,1,19,126,0.3,0.2,10,32,0,0,0,0,0,0,0
Turkey Burgers,224,14,4,82,74,6,1,3,20,0,52,2,308,5,4,3,0.2,15,8,176,28,220,28,3,27,0.4,1.2,7,0,1,17,0.1,0.2,6,63,0,0,0,0,0,0,0
Turkey Meatloaf,227,12,3,103,184,11,1,4,18,0,51,2,319,4,3,3,0.2,12,12,195,35,228,28,3,45,0.4,1.1,15,0,4,18,0.1,0.2,5,83,0,0,0,0,0,0,0
Turkey Patties,379,20,5,149,448,20,2,2,30,0,112,4,382,7,5,5,0.3,19,17,281,43,333,47,4,57,0.5,1.8,3,0,15,61,0.4,0.4,9,117,0,0,0,0,0,0,0
Turkey Pinwheel Appetizers,106,4,2,12,260,13,1,2,5,0,54,1,173,1,0,0,0,0,0,59,15,71,7,0,60,0.1,0.1,5,0,30,50,0.1,0.1,1,13,0,0,0,0,0,0,0
Turkey Potato Salad,243,8,2,68,693,15,2,2,26,0,29,1,590,2,4,4,0.5,3,4,149,47,276,26,2,9,0.9,0.7,23,0,24,27,0.1,0.2,11,81,0,0,0,0,0,0,0
Turkey Salad with Orange Vinaigrette,172,5,1,0,551,10,2,7,21,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey Stew,248,4,1,51,495,30,6,7,23,0,86,2,1061,1,2,1,0.2,3,3,263,67,268,22,2,534,1.1,0.6,40,1,18,50,0.8,0.3,10,79,0,0,0,0,0,0,0
Turkey Stuffed Cabbage,267,10,3,61,220,27,7,15,21,0,147,3,784,4,2,2,0.1,6,3,208,57,242,21,4,138,0.7,1.5,81,1,143,100,0.7,0.3,6,81,0,0,0,0,0,0,0
Turkey Tostadas,197,3,1,53,699,19,3,3,24,0,69,1,434,1,1,0,0,3,3,151,54,306,24,2,35,0.7,0.6,4,1,11,0,0.1,0.2,9,66,0,0,0,0,0,0,0
Turtle Apple,288,1,0,0,20,74,6,66,2,0,34,1,429,0,0,0,0,0,0,173,34,50,1,1,133,0.2,0,0,1,2,0,0.2,0.2,2,27,0,0,0,0,0,0,0
Tuscan Potato Skillet,310,10,2,75,450,27,4,4,28,0,60,2,1029,6,2,1,0.1,11,0,232,74,354,32,2,13,1.1,0.4,27,1,16,46,0.2,0.2,17,117,0,0,0,0,0,0,0
Tuscan-Style Pasta with Cannellini,580,15,2,0,550,89,15,10,21,0,125,6,614,11,3,3,0.2,0,0,725,122,357,65,3,28,0.4,0,11,4,51,98,0.4,0.2,3,74,0,0,0,0,0,0,0
Two Bean Chili,275,9,4,39,284,32,8,12,18,0,64,4,860,2,0,0,0.1,0,0,332,66,246,11,4,45,0.5,0,31,1,9,86,0.2,0.2,4,76,1300,0,0,0,0,0,0
Un-fried Chicken,369,7,2,141,293,17,1,3,56,0,118,3,536,2,2,1,0.1,17,33,137,62,455,52,2,10,1,0.8,0,0,2,43,0.3,0.3,24,148,0,0,0,0,0,0,0
Uncooked Tomato Sauce,301,5,1,3,80,52,5,6,12,0,97,2,546,2,1,1,0.1,0,0,271,51,168,38,1,93,0.3,0.1,37,1,23,197,0.5,0.3,4,24,0,0,0,0,0,0,0
Vegetable Chili,427,8,1,0,480,78,21,18,20,0,196,7,1643,2,5,1,0.2,0,0,695,154,441,5,3,545,0.9,0,46,4,37,137,0.5,0.5,4,126,0,0,0,0,0,0,0
Vegetable Dipping Sauce,42,2,1,6,53,5,0,4,2,0,54,0,77,1,0,0,0,0,0,8,6,38,2,0,14,0,0.2,0,0,0,4,0,0.1,0,6,0,0,0,0,0,0,0
Vegetable Fried Rice,215,7,1,0,255,33,4,3,5,0,34,2,208,3,3,3,0.4,0,0,122,30,82,6,1,149,0.2,0,3,1,27,96,0.2,0.1,2,20,0,0,0,0,0,0,0
Vegetable Medley with Salsa Dip,134,0,0,6,544,30,8,8,5,0,142,1,709,0,0,0,0,0,0,182,43,135,4,1,365,0.3,0,63,1,67,64,0.1,0.2,1,38,200,0,0,0,0,0,0
Vegetable Salad,114,6,1,0,212,14,3,6,3,0,32,1,237,2,2,2,0.3,0,0,112,21,56,1,0,144,0.3,0,23,1,10,29,0.2,0.1,1,17,0,0,0,0,0,0,0
Vegetable Snake,20,0,0,0,4,4,1,3,1,0,19,0,245,0,0,0,0,0,0,98,17,32,0,0,23,0.1,0,9,0,11,21,0.1,0,0,9,0,0,0,0,0,0,0
Vegetable Soup with Chicken,300,4,1,38,305,49,9,9,21,0,56,2,789,2,1,1,0.1,6,106,218,62,226,11,2,609,0.5,0,26,0,0,0,0,0,0,0,500,0,0,0,0,0,0
Vegetable Stew,98,1,0,0,145,22,4,6,3,0,43,1,613,0,0,0,0.1,0,0,149,38,96,1,1,287,0.4,0,35,0,16,58,0.1,0.2,2,23,0,0,0,0,0,0,0
Vegetable Stroganoff,313,5,1,2,70,59,9,12,13,0,169,4,779,1,3,0,0.1,0,0,449,94,260,43,2,323,0.6,0.2,63,3,38,60,0.3,0.3,3,43,0,0,0,0,0,0,0
Vegetarian Chili,272,9,1,0,286,42,12,14,12,0,163,7,1466,3,4,3,0.7,0,0,524,111,264,3,2,85,1,0,99,4,45,183,0.4,0.5,3,62,0,0,0,0,0,0,0
Vegetarian Collard Greens,59,4,2,5,253,4,1,2,2,0,46,0,165,1,1,1,0.2,0,0,54,12,22,1,0,74,0.1,0,12,1,72,32,0.1,0.1,1,9,0,0,0,0,0,0,0
Vegetarian Spaghetti Sauce,129,6,1,1,322,18,4,11,4,0,74,3,757,4,1,1,0.1,0,0,239,45,82,3,1,65,0.3,0,21,4,36,35,0.1,0.1,4,29,0,0,0,0,0,0,0
Vegetarian Stuffed Peppers,36,1,0,0,77,6,2,3,1,0,20,0,225,1,0,0,0,0,0,81,14,28,0,0,34,0.2,0,54,1,21,16,0.1,0,1,7,0,0,0,0,0,0,0
Veggie Bean Wrap,458,11,2,0,599,78,15,19,15,0,160,5,939,6,2,2,0.2,0,0,543,83,256,18,1,76,0.5,0,97,3,27,268,0.6,0.4,5,49,0,0,0,0,0,0,0
Veggie Chow Mein,163,4,1,0,382,27,3,3,5,0,35,1,272,1,2,1,0.2,0,0,116,27,78,18,1,166,0.2,0,36,1,28,104,0.2,0.2,2,14,0,0,0,0,0,0,0
Veggie Dip,27,1,0,4,169,1,0,1,3,0,24,0,35,0,0,0,0,0,0,10,3,43,3,0,10,0,0.1,0,0,2,4,0,0.1,0,5,0,0,0,0,0,0,0
Veggie Noodles,626,9,4,16,753,110,9,7,25,0,165,6,614,2,2,1,0.2,0,0,434,86,313,86,3,586,0.3,0.1,6,2,26,403,0.9,0.6,8,48,0,0,0,0,0,0,0
Veggie Omelet in a Mug,200,13,6,344,382,3,0,2,16,2,190,2,237,5,2,1,0.1,0,51,128,20,291,32,2,196,0.2,0,0,1,1,48,0.1,0.6,1,269,1100,0,0,0,0,0,0
Veggie Pizza Pita Pockets,341,13,6,31,609,36,6,4,22,0,474,2,520,3,1,1,0.2,0,0,218,71,450,32,3,128,0.4,1.3,80,2,95,83,0.3,0.4,3,41,0,0,0,0,0,0,0
Veggie Quesadillas,357,11,6,30,689,52,9,6,17,0,277,3,700,3,1,1,0.2,0,0,280,94,377,38,3,242,0.5,0.2,103,1,86,119,0.4,0.4,4,40,0,0,0,0,0,0,0
Veggie Quesadillas II,318,6,3,14,631,49,8,5,19,0,273,3,532,1,1,1,0.1,0,0,234,84,410,39,3,214,0.4,0.5,76,1,42,99,0.3,0.4,4,33,0,0,0,0,0,0,0
Veggie Stir-Fry with Turkey,223,10,3,54,182,20,4,6,17,0,63,2,623,3,3,2,0.2,10,5,211,56,227,19,3,75,0.6,0,55,1,10,81,0.2,0.3,5,62,800,0,0,0,0,0,0
Veggie Stuffed Pita,163,5,2,6,319,20,3,2,11,0,142,1,265,2,1,1,0.2,0,0,122,36,217,17,1,195,0.2,0.1,20,1,22,34,0.1,0.2,1,20,0,0,0,0,0,0,0
Very Berry Muesli,145,5,1,2,41,24,2,20,4,1,118,0,283,1,3,2,0.6,0,0,186,26,115,3,1,28,0.1,0,2,0,8,14,0.1,0.2,0,16,400,0,0,0,0,0,0
Very Berry Smoothie,252,1,0,2,56,59,13,37,7,1,0,0,0,0,1,0,0.2,0,0,0,0,0,0,0,84,0.4,0.6,82,1,13,66,0.2,0.4,2,52,0,0,0,0,0,0,0
Vinaigrette Salad Dressing,148,16,2,0,123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waldorf Salad,103,3,0,0,23,18,2,14,2,0,41,0,232,0,2,2,0.5,0,0,138,18,55,1,0,5,0.1,0.1,3,0,7,14,0.1,0.1,0,7,0,0,0,0,0,0,0
Watermelon Gazpacho,70,2,0,0,0,13,1,10,1,0,22,0,260,1,0,0,0,0,0,110,23,31,1,0,47,0.1,0,15,0,7,14,0.1,0,0,10,0,0,0,0,0,0,0
